,Run #,Training Loss,Testing Loss 42,Testing Loss 0,Test Seed 42 Score,Test Seed 0 Score,Returns,Take Coin QValue
0,0,0.5097293853759766,0,0,0,0,5,0.0
1,0,8.623594284057617,0,0,0,0,1,0.0
2,0,0.020830374211072922,0,1000,0,1,0,-0.00803509820252657
3,0,61.60976028442383,0,0,0,0,0,0.7641226649284363
4,0,0.5873512029647827,0,0,0,0,0,0.05861816927790642
5,0,15.405705451965332,0,0,0,0,0,0.27766042947769165
6,0,5.993220329284668,0,0,0,0,0,0.2994624078273773
7,0,1.5767545700073242,0,1000,0,1,1,0.23505312204360962
8,0,0.391949862241745,0,0,0,0,2,0.13203781843185425
9,0,0.005538910161703825,0,0,0,0,0,0.024696744978427887
10,1,0.31643006205558777,0,0,0,0,3,0.0
11,1,174.9931182861328,0,0,0,0,2,0.0
12,1,0.33869606256484985,0,0,0,0,0,0.0
13,1,4.382179260253906,0,0,0,0,0,0.0
14,1,15.522056579589844,0,0,0,0,3,0.0
15,1,29.897518157958984,0,0,0,0,0,0.0
16,1,2.983887195587158,0,0,0,0,0,0.0
17,1,0.009975825436413288,0,0,0,0,0,0.0
18,1,0.41219383478164673,0,0,0,0,0,0.0
19,1,0.09922822564840317,0,0,0,0,0,0.0
20,2,0.7291417121887207,0,0,0,0,7,0.0
21,2,86.85624694824219,0,0,0,0,0,0.0
22,2,0.16306163370609283,0,0,0,0,0,0.0
23,2,0.05749597027897835,0,0,0,0,0,0.0
24,2,0.26215988397598267,0,0,0,0,0,0.0
25,2,2.8233864307403564,0,0,0,0,2,0.053043946623802185
26,2,1.393125295639038,0,0,0,0,0,0.18544124066829681
27,2,5.727849960327148,0,0,0,0,0,0.6406400203704834
28,2,4.054953098297119,0,0,0,0,0,0.45812511444091797
29,2,0.2948256731033325,0,0,0,0,0,0.4503655433654785
30,3,0.6990095376968384,0,0,0,0,7,0.0
31,3,20.999439239501953,0,0,0,0,0,0.0
32,3,2.0958361625671387,0,0,0,0,1,0.0
33,3,1.9997661113739014,0,0,0,0,2,-2.626375913619995
34,3,18.401926040649414,0,0,0,0,0,-3.972320079803467
35,3,4.098284721374512,0,0,0,0,0,-3.64443302154541
36,3,3.183666944503784,0,0,0,0,0,-2.9679579734802246
37,3,1.748716115951538,0,0,0,0,0,-1.936325192451477
38,3,0.20651128888130188,0,0,0,0,0,-0.8213523626327515
39,3,0.1602986603975296,0,0,0,0,0,-0.3630683720111847
40,4,0.30455127358436584,0,0,0,0,3,0.0
41,4,88.08210754394531,0,0,0,0,0,0.0
42,4,1.4002735614776611,0,0,0,0,1,0.0
43,4,1.9328941106796265,0,0,0,0,0,-1.248700499534607
44,4,5.796454429626465,0,0,0,0,5,-2.932356119155884
45,4,9.627997398376465,0,0,0,0,0,-3.095088243484497
46,4,3.1410818099975586,0,0,0,0,0,-2.8473408222198486
47,4,3.007960081100464,0,0,0,0,0,-2.4515063762664795
48,4,2.847102403640747,0,0,0,0,0,-1.8655622005462646
49,4,0.9820477366447449,0,0,0,0,0,-1.1842080354690552
