,Run #,Training Loss,Testing Loss 42,Testing Loss 0,Test Seed 42 Score,Test Seed 0 Score,Returns,Take Coin QValue
0,0,0.20846199989318848,0,0,0,0,4,0.0
1,0,26.42159080505371,0,0,0,0,1002,1.0606670379638672
2,0,0.06595514714717865,0,0,0,0,0,0.01169571653008461
3,0,0.7877591848373413,0,0,0,0,0,-0.500232994556427
4,0,0.04833371192216873,0,0,0,0,0,-1.0242689847946167
5,0,2.788261890411377,0,1000,0,1,0,-1.3528239727020264
6,0,0.5340575575828552,0,0,0,0,1001,-0.8148173093795776
7,0,0.5211560130119324,1000,0,1,0,1000,0.10003414005041122
8,0,0.10783509165048599,1000,0,1,0,0,0.3633744418621063
9,0,0.05917595699429512,1000,0,1,0,0,0.3294849991798401
10,0,0.006552163511514664,0,0,0,0,0,0.1025146022439003
11,0,0.043296851217746735,0,0,0,0,0,0.003599969670176506
12,0,0.4168671667575836,0,0,0,0,0,-0.010672562755644321
13,0,0.09862891584634781,0,0,0,0,0,-0.009685111232101917
14,0,0.01662123017013073,0,0,0,0,0,-0.00018399208784103394
15,0,0.007142700254917145,1000,0,1,0,0,0.010898730717599392
16,0,0.046705909073352814,1000,0,1,0,0,0.1994733363389969
17,0,0.07841364294290543,1000,0,1,0,0,0.3254585564136505
18,0,0.1132211685180664,1000,0,1,0,0,0.3405870497226715
19,0,0.04532753303647041,0,0,0,0,0,0.1893344223499298
20,0,0.007037458475679159,0,0,0,0,0,0.014014043845236301
21,0,0.004246010445058346,0,0,0,0,0,0.00860624574124813
22,0,0.0013032525312155485,0,0,0,0,0,0.000987243838608265
23,0,0.0033127230126410723,0,0,0,0,0,-0.006226767785847187
24,0,0.013054080307483673,0,0,0,0,0,-0.009793272241950035
25,0,0.01376442052423954,0,0,0,0,0,-0.010271305218338966
26,0,0.053572267293930054,0,0,0,0,1000,-0.006323635578155518
27,0,0.05920746922492981,0,0,0,0,1000,0.13822437822818756
28,0,0.024683251976966858,0,0,0,0,0,0.3567124605178833
29,0,0.013493083417415619,0,0,0,0,0,0.580714762210846
30,1,0.15140117704868317,0,1000,0,1,3,0.057579156011343
31,1,24.01272201538086,0,0,0,0,1003,0.5471436977386475
32,1,0.06276105344295502,0,0,0,0,0,1.307145118713379
33,1,0.14612533152103424,0,0,0,0,1001,-0.0671427845954895
34,1,2.082813262939453,0,0,0,0,0,-0.4535255432128906
35,1,0.030133787542581558,0,0,0,0,1000,-0.07002618908882141
36,1,0.28844884037971497,0,0,0,0,0,0.19824787974357605
37,1,0.08904075622558594,1000,0,1,0,1001,0.14403828978538513
38,1,0.001400498440489173,0,0,0,0,0,0.13156864047050476
39,1,0.0884149819612503,0,0,0,0,0,0.4747771620750427
40,1,0.22480447590351105,0,0,0,0,0,0.6791916489601135
41,1,0.12621977925300598,0,0,0,0,0,0.6543444395065308
42,1,0.007353117223829031,0,0,0,0,0,0.4495796263217926
43,1,0.02065686509013176,0,0,0,0,1000,0.2962183356285095
44,1,0.0020427408162504435,1000,0,1,0,0,0.17087706923484802
45,1,0.003375838277861476,1000,0,1,0,0,0.08710218220949173
46,1,0.02002527005970478,1000,0,1,0,0,0.13521641492843628
47,1,0.04400549456477165,1000,0,1,0,0,0.14518779516220093
48,1,0.005336620844900608,0,0,0,0,0,0.08815094828605652
49,1,0.004813056904822588,0,0,0,0,1000,0.10618570446968079
50,1,0.02288159355521202,0,0,0,0,0,0.11003191024065018
51,1,0.001476778881624341,0,0,0,0,0,0.10086771100759506
52,1,0.03642171993851662,0,0,0,0,1000,0.08835944533348083
53,1,0.048111073672771454,0,0,0,0,0,0.08291704207658768
54,1,0.024585116654634476,1000,0,1,0,1000,0.08648651838302612
55,1,0.0010622332338243723,1000,0,1,0,0,0.08170335739850998
56,1,0.03448926657438278,1000,0,1,0,0,0.1523286998271942
57,1,0.06145239993929863,1000,0,1,0,0,0.16346633434295654
58,1,0.0007953789317980409,0,0,0,0,0,0.08389022201299667
59,1,0.01471918635070324,0,0,0,0,0,0.1117725670337677
60,2,0.15568357706069946,0,0,0,0,3,0.0
61,2,35.37227249145508,0,0,0,0,1003,0.4187470078468323
62,2,2.522557020187378,0,0,0,0,1000,1.492993712425232
63,2,14.677042961120605,0,0,0,0,0,0.5094307661056519
64,2,0.15019522607326508,0,0,0,0,0,0.041680045425891876
65,2,0.01724681444466114,0,1000,0,1,0,-0.02324191853404045
66,2,0.2673795819282532,0,1000,0,1,0,0.6107969284057617
67,2,0.2000555545091629,0,1000,0,1,1001,1.2249847650527954
68,2,0.1975550651550293,0,1000,0,1,1001,1.613868236541748
69,2,0.20353785157203674,0,1000,0,1,1000,1.798608422279358
70,2,1.6383962631225586,0,0,0,0,1000,1.793762445449829
71,2,0.2894529700279236,0,0,0,0,1000,1.0403517484664917
72,2,0.027082255110144615,0,0,0,0,0,0.2540890872478485
73,2,0.2880550026893616,0,0,0,0,0,-0.035384226590394974
74,2,0.4245784878730774,0,0,0,0,0,-0.0506916344165802
75,2,0.08601772040128708,0,0,0,0,0,-0.04256596788764
76,2,0.0806366503238678,0,0,0,0,0,-0.02959480881690979
77,2,0.0023006577976047993,0,0,0,0,0,0.04763391613960266
78,2,0.0326719656586647,0,0,0,0,1000,0.23560857772827148
79,2,0.008584445342421532,0,0,0,0,0,0.3491683602333069
80,2,0.10429583489894867,0,0,0,0,0,0.4297691583633423
81,2,0.5648068189620972,0,0,0,0,0,0.45151016116142273
82,2,0.26500144600868225,0,0,0,0,1000,0.3109009265899658
